ID,Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,CUSTOMER_SATISFACTION,AVERAGE_SPEED,Miles Driven,FUEL_CONSUMPTION
0,36,12,1956,Highway,Rainy,Truck,Medium,Weekend,79,52.41,1886.71,282.44
1,49,15,2305,Suburban,Sunny,Truck,Medium,Weekday,93,44.63,2186.9,331.95
2,58,18,2306,Urban,Snowy,Truck,Medium,Weekday,85,22.87,1326.46,231.5
3,44,15,2262,Urban,Rainy,Truck,Low,Weekday,72,27.43,1206.73,246.12
4,40,23,2585,Urban,Sunny,Truck,Medium,Weekday,91,29.38,1175.4,205.98
5,37,8,1809,Suburban,Rainy,Truck,Low,Weekday,59,41.32,1528.72,254.64
6,58,20,2485,Highway,Sunny,Truck,High,Weekday,85,46.1,2674.06,428.23
7,50,11,1985,Suburban,Rainy,Truck,Low,Weekday,85,42.12,2105.87,327.8
8,36,7,1680,Highway,Snowy,Truck,High,Weekend,71,35.41,1274.88,202.45
9,55,16,2279,Urban,Sunny,Truck,Medium,Weekend,87,29.17,1604.43,308.19
10,48,19,2484,Suburban,Rainy,Truck,Medium,Weekday,70,36.87,1769.66,323.19
11,52,12,2025,Suburban,Rainy,Truck,High,Weekday,65,31.56,1640.87,249.63
12,40,10,1970,Urban,Rainy,Truck,Medium,Weekend,70,25.72,1028.76,179.88
13,40,9,2018,Urban,Sunny,Truck,Medium,Weekday,91,31.36,1254.2,249.84
14,53,13,2196,Highway,Sunny,Truck,Low,Weekend,73,63.93,3388.31,514.46
15,50,23,2586,Highway,Sunny,Truck,High,Weekday,66,47.23,2361.74,369.92
16,33,19,2530,Suburban,Sunny,Truck,Low,Weekday,81,48.84,1611.71,296.33
17,37,12,2032,Urban,Sunny,Truck,Medium,Weekday,94,29.34,1085.72,185.23
18,53,17,2327,Urban,Rainy,Truck,High,Weekend,76,19.97,1058.59,183.57
19,32,14,2134,Urban,Snowy,Truck,Medium,Weekend,68,21.44,686.04,115.77
20,51,10,1905,Urban,Sunny,Truck,Medium,Weekday,97,29.26,1492.06,291.31
21,50,26,2889,Highway,Sunny,Truck,Low,Weekday,94,61.5,3074.85,448.02
22,31,17,2443,Urban,Rainy,Truck,Low,Weekday,80,26.23,813.22,163.05
